Department,RC_Name,CST_NAME,CURRENT,PLANNED,VAR
Bronx Property Management,Morrisania Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Morrisania Consolidated Total,,51 ,47 ,4 
Bronx Property Management,Murphy Consolidated,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Murphy Consolidated,CARETAKER HA,15 ,17 ,(2)
Bronx Property Management,Murphy Consolidated,CHIEF CARETAKER,1 ,1 ,0 
Bronx Property Management,Murphy Consolidated,HSG AST,2 ,2 ,0 
Bronx Property Management,Murphy Consolidated,HSG MGR,1 ,1 ,0 
Bronx Property Management,Murphy Consolidated,MAINT WORKER,3 ,3 ,0 
Bronx Property Management,Murphy Consolidated,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Murphy Consolidated,SECY,2 ,1 ,1 
Bronx Property Management,Murphy Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Murphy Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Murphy Consolidated Total,,28 ,29 ,(1)
Bronx Property Management,Parkside,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Parkside,CARETAKER HA,16 ,14 ,2 
Bronx Property Management,Parkside,CITY ATTENDANT,1 ,1 ,0 
Bronx Property Management,Parkside,HSG AST,2 ,1 ,1 
Bronx Property Management,Parkside,HSG MGR,1 ,1 ,0 
Bronx Property Management,Parkside,MAINT WORKER,4 ,4 ,0 
Bronx Property Management,Parkside,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Parkside,SECY,1 ,1 ,0 
Bronx Property Management,Parkside,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Parkside,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Parkside Total,,29 ,26 ,3 
Bronx Property Management,Pelham Parkway Consolidated,AST HSG MGR,1 ,1 ,0 
Bronx Property Management,Pelham Parkway Consolidated,AST RES BLDG SP,2 ,2 ,0 
Bronx Property Management,Pelham Parkway Consolidated,CARETAKER HA,27 ,29 ,(2)
Bronx Property Management,Pelham Parkway Consolidated,CHIEF CARETAKER,1 ,,1 
Bronx Property Management,Pelham Parkway Consolidated,HSG AST,4 ,4 ,0 
Bronx Property Management,Pelham Parkway Consolidated,HSG MGR,1 ,1 ,0 
Bronx Property Management,Pelham Parkway Consolidated,MAINT WORKER,6 ,5 ,1 
Bronx Property Management,Pelham Parkway Consolidated,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Pelham Parkway Consolidated,SECY,2 ,2 ,0 
Bronx Property Management,Pelham Parkway Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
Bronx Property Management,Pelham Parkway Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Pelham Parkway Consolidated Total,,48 ,48 ,0 
Bronx Property Management,Sack Wern Consolidated,AST RES BLDG SP,1 ,,1 
Bronx Property Management,Sack Wern Consolidated,CARETAKER HA,17 ,14 ,3 
Bronx Property Management,Sack Wern Consolidated,CHIEF CARETAKER,,1 ,(1)
Bronx Property Management,Sack Wern Consolidated,HSG AST,2 ,2 ,0 
Bronx Property Management,Sack Wern Consolidated,HSG MGR,1 ,1 ,0 
Bronx Property Management,Sack Wern Consolidated,MAINT WORKER,4 ,3 ,1 
Bronx Property Management,Sack Wern Consolidated,RES BLDG SUPT,1 ,,1 
Bronx Property Management,Sack Wern Consolidated,SECY,2 ,2 ,0 
Bronx Property Management,Sack Wern Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Sack Wern Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Sack Wern Consolidated Total,,30 ,25 ,5 
Bronx Property Management,Sedgwick Consolidated,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Sedgwick Consolidated,CARETAKER HA,18 ,17 ,1 
Bronx Property Management,Sedgwick Consolidated,CHIEF CARETAKER,,1 ,(1)
Bronx Property Management,Sedgwick Consolidated,HSG AST,2 ,2 ,0 
Bronx Property Management,Sedgwick Consolidated,HSG MGR,1 ,1 ,0 
Bronx Property Management,Sedgwick Consolidated,MAINT WORKER,4 ,5 ,(1)
Bronx Property Management,Sedgwick Consolidated,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Sedgwick Consolidated,SECY,2 ,2 ,0 
Bronx Property Management,Sedgwick Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Sedgwick Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Sedgwick Consolidated Total,,31 ,32 ,(1)
Bronx Property Management,Soundview,AST HSG MGR,1 ,1 ,0 
Bronx Property Management,Soundview,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Soundview,CARETAKER HA,25 ,19 ,6 
Bronx Property Management,Soundview,HSG AST,2 ,2 ,0 
Bronx Property Management,Soundview,HSG AST BILINGL,1 ,1 ,0 
Bronx Property Management,Soundview,HSG MGR,1 ,1 ,0 
Bronx Property Management,Soundview,MAINT WORKER,5 ,5 ,0 
Bronx Property Management,Soundview,RES BLDG SUPT,1 ,,1 
Bronx Property Management,Soundview,SECY,2 ,,2 
Bronx Property Management,Soundview,SUPV HSG CRTKR,1 ,2 ,(1)
Bronx Property Management,Soundview,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Soundview Total,,41 ,33 ,8 
Bronx Property Management,Throggs Neck Consolidated,AST HSG MGR,1 ,1 ,0 
Bronx Property Management,Throggs Neck Consolidated,AST RES BLDG SP,2 ,2 ,0 
Bronx Property Management,Throggs Neck Consolidated,CARETAKER HA,32 ,29 ,3 
Bronx Property Management,Throggs Neck Consolidated,HSG AST,4 ,2 ,2 
Bronx Property Management,Throggs Neck Consolidated,HSG MGR,1 ,1 ,0 
Bronx Property Management,Throggs Neck Consolidated,MAINT WORKER,8 ,9 ,(1)
Bronx Property Management,Throggs Neck Consolidated,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Throggs Neck Consolidated,SECY,2 ,1 ,1 
Bronx Property Management,Throggs Neck Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
Bronx Property Management,Throggs Neck Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Throggs Neck Consolidated Total,,54 ,49 ,5 
Bronx Property Management,Union Ave Consolidated,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Union Ave Consolidated,CARETAKER HA,15 ,16 ,(1)
Bronx Property Management,Union Ave Consolidated,CHIEF CARETAKER,6 ,5 ,1 
Bronx Property Management,Union Ave Consolidated,HSG AST,2 ,2 ,0 
Bronx Property Management,Union Ave Consolidated,HSG MGR,1 ,1 ,0 
Bronx Property Management,Union Ave Consolidated,MAINT WORKER,4 ,4 ,0 
Bronx Property Management,Union Ave Consolidated,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Union Ave Consolidated,SECY,2 ,2 ,0 
Bronx Property Management,Union Ave Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Union Ave Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Union Ave Consolidated Total,,34 ,34 ,0 
Bronx Property Management,Webster Consolidated,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Webster Consolidated,CARETAKER HA,16 ,16 ,0 
Bronx Property Management,Webster Consolidated,HSG AST,2 ,2 ,0 
Bronx Property Management,Webster Consolidated,HSG MGR,1 ,1 ,0 
Bronx Property Management,Webster Consolidated,MAINT WORKER,4 ,4 ,0 
Bronx Property Management,Webster Consolidated,RES BLDG SUPT,1 ,,1 
Bronx Property Management,Webster Consolidated,SECY,2 ,2 ,0 
Bronx Property Management,Webster Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Webster Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Webster Consolidated Total,,29 ,28 ,1 
Bronx Property Management Total,,,930 ,880 ,50 
Brooklyn Property Management,Albany Consolidated,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Albany Consolidated,AST RES BLDG SP,1 ,2 ,(1)
Brooklyn Property Management,Albany Consolidated,CARETAKER HA,23 ,26 ,(3)
Brooklyn Property Management,Albany Consolidated,HSG AST,3 ,4 ,(1)
Brooklyn Property Management,Albany Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Albany Consolidated,MAINT WORKER,5 ,4 ,1 
Brooklyn Property Management,Albany Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Albany Consolidated,SECY,2 ,1 ,1 
Brooklyn Property Management,Albany Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Albany Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Albany Consolidated Total,,39 ,42 ,(3)
Brooklyn Property Management,Borinquen Plaza Consolidated,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Borinquen Plaza Consolidated,CARETAKER HA,21 ,24 ,(3)
Brooklyn Property Management,Borinquen Plaza Consolidated,CITY ATTENDANT,1 ,1 ,0 
Brooklyn Property Management,Borinquen Plaza Consolidated,CLERICAL ASO,1 ,1 ,0 
Brooklyn Property Management,Borinquen Plaza Consolidated,HSG AST,2 ,2 ,0 
Brooklyn Property Management,Borinquen Plaza Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Borinquen Plaza Consolidated,MAINT WORKER,4 ,3 ,1 
Brooklyn Property Management,Borinquen Plaza Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Borinquen Plaza Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Borinquen Plaza Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Borinquen Plaza Consolidated Total,,34 ,36 ,(2)
Brooklyn Property Management,Breukelen,AST HSG MGR,1 ,,1 
Brooklyn Property Management,Breukelen,AST RES BLDG SP,2 ,1 ,1 
Brooklyn Property Management,Breukelen,CARETAKER HA,30 ,26 ,4 
Brooklyn Property Management,Breukelen,CLERICAL ASO,1 ,1 ,0 
Brooklyn Property Management,Breukelen,HSG AST,4 ,4 ,0 
Brooklyn Property Management,Breukelen,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Breukelen,MAINT WORKER,7 ,7 ,0 
Brooklyn Property Management,Breukelen,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Breukelen,SECY,1 ,1 ,0 
Brooklyn Property Management,Breukelen,SUPV HSG CRTKR,2 ,1 ,1 
Brooklyn Property Management,Breukelen,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Breukelen Total,,51 ,44 ,7 
Brooklyn Property Management,Brevoort,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Brevoort,CARETAKER HA,17 ,18 ,(1)
Brooklyn Property Management,Brevoort,HSG AST,2 ,2 ,0 
Brooklyn Property Management,Brevoort,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Brevoort,MAINT WORKER,4 ,2 ,2 
Brooklyn Property Management,Brevoort,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Brevoort,SECY,2 ,2 ,0 
Brooklyn Property Management,Brevoort,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Brevoort,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Brevoort Total,,30 ,29 ,1 
Brooklyn Property Management,Carey Gardens Consolidated,AST HSG MGR,1 ,,1 
Brooklyn Property Management,Carey Gardens Consolidated,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Carey Gardens Consolidated,CARETAKER HA,22 ,21 ,1 
Brooklyn Property Management,Carey Gardens Consolidated,CLERICAL ASO,1 ,1 ,0 
Brooklyn Property Management,Carey Gardens Consolidated,HSG AST,3 ,3 ,0 
Brooklyn Property Management,Carey Gardens Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Carey Gardens Consolidated,MAINT WORKER,5 ,5 ,0 
Brooklyn Property Management,Carey Gardens Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Carey Gardens Consolidated,SECY,1 ,1 ,0 
Brooklyn Property Management,Carey Gardens Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Carey Gardens Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Carey Gardens Consolidated Total,,38 ,36 ,2 
Brooklyn Property Management,Cooper Park,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Cooper Park,CARETAKER HA,14 ,14 ,0 
Brooklyn Property Management,Cooper Park,HSG AST,2 ,2 ,0 
Brooklyn Property Management,Cooper Park,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Cooper Park,MAINT WORKER,3 ,3 ,0 
Brooklyn Property Management,Cooper Park,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Cooper Park,SECY,2 ,2 ,0 
Brooklyn Property Management,Cooper Park,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Cooper Park,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Cooper Park Total,,26 ,26 ,0 
Brooklyn Property Management,Cypress Hills Consolidated,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Cypress Hills Consolidated,AST RES BLDG SP,2 ,2 ,0 
Brooklyn Property Management,Cypress Hills Consolidated,CARETAKER HA,26 ,31 ,(5)
Brooklyn Property Management,Cypress Hills Consolidated,HSG AST,4 ,4 ,0 
Brooklyn Property Management,Cypress Hills Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Cypress Hills Consolidated,MAINT WORKER,7 ,6 ,1 
Brooklyn Property Management,Cypress Hills Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Cypress Hills Consolidated,SECY,2 ,2 ,0 
Brooklyn Property Management,Cypress Hills Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Cypress Hills Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Cypress Hills Consolidated Total,,46 ,50 ,(4)
Brooklyn Property Management,Farragut,AST HSG MGR,1 ,,1 
Brooklyn Property Management,Farragut,AST RES BLDG SP,2 ,1 ,1 
Brooklyn Property Management,Farragut,CARETAKER HA,25 ,27 ,(2)
Brooklyn Property Management,Farragut,CITY ATTENDANT,1 ,1 ,0 
Brooklyn Property Management,Farragut,HSG AST,3 ,1 ,2 
Brooklyn Property Management,Farragut,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Farragut,MAINT WORKER,6 ,6 ,0 
Brooklyn Property Management,Farragut,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Farragut,SECY,1 ,1 ,0 
Brooklyn Property Management,Farragut,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Farragut,SUPV HSG GDKPR,1 ,1 ,0 
