Department,RC_Name,CST_NAME,CURRENT,PLANNED,VAR
Manhattan Property Management,Gompers Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Gompers Consolidated Total,,48 ,44 ,4 
Manhattan Property Management,Grant,AST HSG MGR,2 ,2 ,0 
Manhattan Property Management,Grant,AST RES BLDG SP,2 ,1 ,1 
Manhattan Property Management,Grant,CARETAKER HA,31 ,28 ,3 
Manhattan Property Management,Grant,HSG AST,5 ,5 ,0 
Manhattan Property Management,Grant,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Grant,MAINT WORKER,8 ,8 ,0 
Manhattan Property Management,Grant,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Grant,SECY,2 ,1 ,1 
Manhattan Property Management,Grant,SUPV HSG CRTKR,2 ,1 ,1 
Manhattan Property Management,Grant,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Grant Total,,55 ,49 ,6 
Manhattan Property Management,Harlem River Consolidated,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Harlem River Consolidated,AST RES BLDG SP,2 ,2 ,0 
Manhattan Property Management,Harlem River Consolidated,CARETAKER HA,23 ,20 ,3 
Manhattan Property Management,Harlem River Consolidated,HSG AST,3 ,3 ,0 
Manhattan Property Management,Harlem River Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Harlem River Consolidated,MAINT WORKER,5 ,5 ,0 
Manhattan Property Management,Harlem River Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Harlem River Consolidated,SECY,2 ,1 ,1 
Manhattan Property Management,Harlem River Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Harlem River Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Harlem River Consolidated,SECY WP,,1 ,(1)
Manhattan Property Management,Harlem River Consolidated Total,,40 ,37 ,3 
Manhattan Property Management,Isaacs Consolidated,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Isaacs Consolidated,AST RES BLDG SP,1 ,1 ,0 
Manhattan Property Management,Isaacs Consolidated,CARETAKER HA,23 ,20 ,3 
Manhattan Property Management,Isaacs Consolidated,CHIEF CARETAKER,,1 ,(1)
Manhattan Property Management,Isaacs Consolidated,HSG AST,3 ,3 ,0 
Manhattan Property Management,Isaacs Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Isaacs Consolidated,MAINT WORKER,6 ,5 ,1 
Manhattan Property Management,Isaacs Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Isaacs Consolidated,SECY,2 ,2 ,0 
Manhattan Property Management,Isaacs Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Isaacs Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Isaacs Consolidated Total,,40 ,37 ,3 
Manhattan Property Management,Jackie Robinson Consolidated,AST RES BLDG SP,1 ,1 ,0 
Manhattan Property Management,Jackie Robinson Consolidated,CARETAKER HA,13 ,12 ,1 
Manhattan Property Management,Jackie Robinson Consolidated,HSG AST,2 ,2 ,0 
Manhattan Property Management,Jackie Robinson Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Jackie Robinson Consolidated,MAINT WORKER,3 ,3 ,0 
Manhattan Property Management,Jackie Robinson Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Jackie Robinson Consolidated,SECY,2 ,2 ,0 
Manhattan Property Management,Jackie Robinson Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Jackie Robinson Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Jackie Robinson Consolidated Total,,25 ,24 ,1 
Manhattan Property Management,Johnson,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Johnson,AST RES BLDG SP,1 ,1 ,0 
Manhattan Property Management,Johnson,CARETAKER HA,23 ,23 ,0 
Manhattan Property Management,Johnson,HSG AST,3 ,2 ,1 
Manhattan Property Management,Johnson,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Johnson,MAINT WORKER,5 ,5 ,0 
Manhattan Property Management,Johnson,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Johnson,SECY,2 ,2 ,0 
Manhattan Property Management,Johnson,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Johnson,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Johnson Total,,39 ,38 ,1 
Manhattan Property Management,Kings Tower Consolidated,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Kings Tower Consolidated,AST RES BLDG SP,2 ,1 ,1 
Manhattan Property Management,Kings Tower Consolidated,CARETAKER HA,26 ,22 ,4 
Manhattan Property Management,Kings Tower Consolidated,HSG AST,4 ,3 ,1 
Manhattan Property Management,Kings Tower Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Kings Tower Consolidated,MAINT WORKER,7 ,6 ,1 
Manhattan Property Management,Kings Tower Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Kings Tower Consolidated,SECY,2 ,2 ,0 
Manhattan Property Management,Kings Tower Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Kings Tower Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Kings Tower Consolidated Total,,46 ,39 ,7 
Manhattan Property Management,La Guardia Consolidated,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,La Guardia Consolidated,AST RES BLDG SP,1 ,1 ,0 
Manhattan Property Management,La Guardia Consolidated,CARETAKER HA,26 ,26 ,0 
Manhattan Property Management,La Guardia Consolidated,HSG AST,4 ,4 ,0 
Manhattan Property Management,La Guardia Consolidated,HSG MGR,1 ,,1 
Manhattan Property Management,La Guardia Consolidated,MAINT WORKER,6 ,2 ,4 
Manhattan Property Management,La Guardia Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,La Guardia Consolidated,SECY,2 ,2 ,0 
Manhattan Property Management,La Guardia Consolidated,SUPV HSG CRTKR,1 ,,1 
Manhattan Property Management,La Guardia Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,La Guardia Consolidated,ADM MGR-NM,,1 ,(1)
Manhattan Property Management,La Guardia Consolidated Total,,44 ,39 ,5 
Manhattan Property Management,Lehman,AST RES BLDG SP,1 ,1 ,0 
Manhattan Property Management,Lehman,CARETAKER HA,13 ,14 ,(1)
Manhattan Property Management,Lehman,HSG AST,2 ,2 ,0 
Manhattan Property Management,Lehman,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Lehman,MAINT WORKER,3 ,3 ,0 
Manhattan Property Management,Lehman,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Lehman,SECY,2 ,1 ,1 
Manhattan Property Management,Lehman,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Lehman,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Lehman Total,,25 ,25 ,0 
Manhattan Property Management,Lower East Side Consolidated,AST RES BLDG SP,1 ,,1 
Manhattan Property Management,Lower East Side Consolidated,CARETAKER HA,17 ,15 ,2 
Manhattan Property Management,Lower East Side Consolidated,HSG AST,2 ,1 ,1 
Manhattan Property Management,Lower East Side Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Lower East Side Consolidated,MAINT WORKER,4 ,4 ,0 
Manhattan Property Management,Lower East Side Consolidated,RES BLDG SUPT,1 ,,1 
Manhattan Property Management,Lower East Side Consolidated,SECY,2 ,2 ,0 
Manhattan Property Management,Lower East Side Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Lower East Side Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Lower East Side Consolidated Total,,30 ,25 ,5 
Manhattan Property Management,Polo Grounds Tower,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Polo Grounds Tower,AST RES BLDG SP,2 ,2 ,0 
Manhattan Property Management,Polo Grounds Tower,CARETAKER HA,28 ,27 ,1 
Manhattan Property Management,Polo Grounds Tower,CLERICAL ASO,2 ,2 ,0 
Manhattan Property Management,Polo Grounds Tower,HSG AST,4 ,4 ,0 
Manhattan Property Management,Polo Grounds Tower,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Polo Grounds Tower,MAINT WORKER,7 ,6 ,1 
Manhattan Property Management,Polo Grounds Tower,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Polo Grounds Tower,SUPV HSG CRTKR,2 ,2 ,0 
Manhattan Property Management,Polo Grounds Tower,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Polo Grounds Tower Total,,49 ,47 ,2 
Manhattan Property Management,Rangel,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Rangel,AST RES BLDG SP,1 ,1 ,0 
Manhattan Property Management,Rangel,CARETAKER HA,18 ,16 ,2 
Manhattan Property Management,Rangel,HSG AST,2 ,2 ,0 
Manhattan Property Management,Rangel,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Rangel,MAINT WORKER,4 ,4 ,0 
Manhattan Property Management,Rangel,RES BLDG SUPT,1 ,,1 
Manhattan Property Management,Rangel,SECY,2 ,2 ,0 
Manhattan Property Management,Rangel,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Rangel,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Rangel Total,,32 ,29 ,3 
Manhattan Property Management,Riis Consolidated,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Riis Consolidated,AST RES BLDG SP,2 ,1 ,1 
Manhattan Property Management,Riis Consolidated,CARETAKER HA,30 ,31 ,(1)
Manhattan Property Management,Riis Consolidated,HSG AST,4 ,3 ,1 
Manhattan Property Management,Riis Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Riis Consolidated,MAINT WORKER,8 ,7 ,1 
Manhattan Property Management,Riis Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Riis Consolidated,SECY,2 ,2 ,0 
Manhattan Property Management,Riis Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
Manhattan Property Management,Riis Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Riis Consolidated Total,,52 ,50 ,2 
Manhattan Property Management,Saint Nicholas,AST HSG MGR,1 ,,1 
Manhattan Property Management,Saint Nicholas,AST RES BLDG SP,2 ,2 ,0 
Manhattan Property Management,Saint Nicholas,CARETAKER HA,26 ,25 ,1 
Manhattan Property Management,Saint Nicholas,HSG AST,4 ,4 ,0 
Manhattan Property Management,Saint Nicholas,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Saint Nicholas,MAINT WORKER,7 ,5 ,2 
Manhattan Property Management,Saint Nicholas,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Saint Nicholas,SECY,2 ,2 ,0 
Manhattan Property Management,Saint Nicholas,SUPV HSG CRTKR,1 ,,1 
Manhattan Property Management,Saint Nicholas,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Saint Nicholas Total,,46 ,41 ,5 
Manhattan Property Management,Smith,AST HSG MGR,2 ,2 ,0 
Manhattan Property Management,Smith,AST RES BLDG SP,2 ,2 ,0 
Manhattan Property Management,Smith,CARETAKER HA,34 ,32 ,2 
Manhattan Property Management,Smith,CLERICAL ASO,1 ,1 ,0 
Manhattan Property Management,Smith,HSG AST,5 ,4 ,1 
Manhattan Property Management,Smith,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Smith,MAINT WORKER,9 ,9 ,0 
Manhattan Property Management,Smith,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Smith,SECY,1 ,1 ,0 
Manhattan Property Management,Smith,SUPV HSG CRTKR,2 ,2 ,0 
Manhattan Property Management,Smith,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Smith Total,,59 ,56 ,3 
Manhattan Property Management,Taft Consolidated,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Taft Consolidated,AST RES BLDG SP,2 ,1 ,1 
Manhattan Property Management,Taft Consolidated,CARETAKER HA,27 ,28 ,(1)
Manhattan Property Management,Taft Consolidated,HSG AST,4 ,4 ,0 
Manhattan Property Management,Taft Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Taft Consolidated,MAINT WORKER,8 ,9 ,(1)
Manhattan Property Management,Taft Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Taft Consolidated,SECY,2 ,,2 
Manhattan Property Management,Taft Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Taft Consolidated,SUPV HSG GDKPR,1 ,,1 
Manhattan Property Management,Taft Consolidated Total,,48 ,46 ,2 
Manhattan Property Management,Vladeck Consolidated,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Vladeck Consolidated,AST RES BLDG SP,2 ,2 ,0 
Manhattan Property Management,Vladeck Consolidated,CARETAKER HA,31 ,29 ,2 
Manhattan Property Management,Vladeck Consolidated,HSG AST,4 ,4 ,0 
Manhattan Property Management,Vladeck Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Vladeck Consolidated,MAINT WORKER,7 ,6 ,1 
Manhattan Property Management,Vladeck Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Vladeck Consolidated,SECY,2 ,1 ,1 
Manhattan Property Management,Vladeck Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Vladeck Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Vladeck Consolidated Total,,51 ,47 ,4 
Manhattan Property Management,Wald,AST HSG MGR,2 ,1 ,1 
Manhattan Property Management,Wald,AST RES BLDG SP,2 ,1 ,1 
Manhattan Property Management,Wald,CARETAKER HA,32 ,30 ,2 
Manhattan Property Management,Wald,HSG AST,5 ,7 ,(2)
Manhattan Property Management,Wald,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Wald,MAINT WORKER,7 ,6 ,1 
Manhattan Property Management,Wald,RES BLDG SUPT,1 ,,1 
Manhattan Property Management,Wald,SECY,2 ,2 ,0 
Manhattan Property Management,Wald,SUPV HSG CRTKR,2 ,1 ,1 
Manhattan Property Management,Wald,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Wald Total,,55 ,50 ,5 
Manhattan Property Management,Washington Consolidated,AST HSG MGR,2 ,2 ,0 
Manhattan Property Management,Washington Consolidated,AST RES BLDG SP,2 ,2 ,0 
Manhattan Property Management,Washington Consolidated,CARETAKER HA,35 ,29 ,6 
Manhattan Property Management,Washington Consolidated,HSG AST,5 ,5 ,0 
Manhattan Property Management,Washington Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Washington Consolidated,MAINT WORKER,8 ,8 ,0 
Manhattan Property Management,Washington Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Washington Consolidated,SECY,2 ,2 ,0 
Manhattan Property Management,Washington Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
Manhattan Property Management,Washington Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Washington Consolidated Total,,59 ,53 ,6 
Manhattan Property Management,Ft. Washington Consolidated,AST RES BLDG SP,,1 ,(1)
Manhattan Property Management,Ft. Washington Consolidated,CARETAKER HA,,9 ,(9)
Manhattan Property Management,Ft. Washington Consolidated,HSG AST,,1 ,(1)
Manhattan Property Management,Ft. Washington Consolidated,HSG MGR,,1 ,(1)
Manhattan Property Management,Ft. Washington Consolidated,MAINT WORKER,,2 ,(2)
Manhattan Property Management,Ft. Washington Consolidated,RES BLDG SUPT,,1 ,(1)
Manhattan Property Management,Ft. Washington Consolidated,SECY,,1 ,(1)
Manhattan Property Management,Ft. Washington Consolidated,SUPV HSG CRTKR,,1 ,(1)
Manhattan Property Management,Ft. Washington Consolidated Total,,,17 ,(17)
Manhattan Property Management Total,,,"1,116 ","1,041 ",75 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,ADM HSG MGR,3 ,2 ,1 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,ADM HSG SUPT,3 ,3 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,ADM MANAGER-NM,2 ,,2 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,BRICKLAYER,8 ,8 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,CARETAKER HA,39 ,37 ,2 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,CARPENTER,33 ,33 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,CLERICAL ASO,3 ,3 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,COMMUNITY ASO,2 ,2 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,COMMUNITY COORD,1 ,1 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,ELECTRCN HELPER,4 ,1 ,3 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,ELECTRICIAN,5 ,3 ,2 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,GLAZIER,3 ,3 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,HSG AST,8 ,10 ,(2)
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,HSG EXTRMNTR,16 ,12 ,4 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,HSNG EXTR AL2&3,1 ,,1 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,MAINT WORKER,,2 ,(2)
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,MASONS HELPER,7 ,5 ,2 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,PAINTER,,10 ,(10)
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,PLASTERER,38 ,26 ,12 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,PLUMBER,10 ,10 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,PLUMBERS HELPER,8 ,2 ,6 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,RES BLDG SUPT,3 ,1 ,2 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,ROOFER,3 ,3 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,SECY,3 ,3 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,SUPV BRICKLAYER,1 ,1 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,SUPV CARPENTER,2 ,2 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,SUPV ELECTRCN,1 ,1 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,SUPV PAINTER,,5 ,(5)
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,SUPV PLASTERER,4 ,3 ,1 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,SUPV PLUMBER,1 ,1 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,SUPV ROOFER,1 ,1 ,0 
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,ADM MGR-NM,,2 ,(2)
Mixed Finance Asset Management,Department of Mixed Finance Asset Management,HSNG EXTR AL2,,1 ,(1)
Mixed Finance Asset Management,Department of Mixed Finance Asset Management Total,,213 ,197 ,16 
Mixed Finance Asset Management Total,,,213 ,197 ,16 
Mixed Finance Conventional,Amsterdam Consolidated,AST HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Amsterdam Consolidated,AST RES BLDG SP,2 ,2 ,0 
Mixed Finance Conventional,Amsterdam Consolidated,CARETAKER HA,29 ,25 ,4 
Mixed Finance Conventional,Amsterdam Consolidated,CLERICAL ASO,1 ,1 ,0 
Mixed Finance Conventional,Amsterdam Consolidated,HSG AST,4 ,3 ,1 
Mixed Finance Conventional,Amsterdam Consolidated,HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Amsterdam Consolidated,MAINT WORKER,7 ,8 ,(1)
Mixed Finance Conventional,Amsterdam Consolidated,RES BLDG SUPT,1 ,1 ,0 
Mixed Finance Conventional,Amsterdam Consolidated,SECY,1 ,1 ,0 
Mixed Finance Conventional,Amsterdam Consolidated,SUPV HSG CRTKR,2 ,1 ,1 
Mixed Finance Conventional,Amsterdam Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Mixed Finance Conventional,Amsterdam Consolidated Total,,50 ,45 ,5 
Mixed Finance Conventional,Boulevard Consolidated,AST HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Boulevard Consolidated,AST RES BLDG SP,2 ,2 ,0 
Mixed Finance Conventional,Boulevard Consolidated,CARETAKER HA,28 ,27 ,1 
Mixed Finance Conventional,Boulevard Consolidated,HSG AST,4 ,3 ,1 
Mixed Finance Conventional,Boulevard Consolidated,HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Boulevard Consolidated,MAINT WORKER,7 ,7 ,0 
Mixed Finance Conventional,Boulevard Consolidated,RES BLDG SUPT,1 ,1 ,0 
Mixed Finance Conventional,Boulevard Consolidated,SECY,2 ,2 ,0 
Mixed Finance Conventional,Boulevard Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Mixed Finance Conventional,Boulevard Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Mixed Finance Conventional,Boulevard Consolidated Total,,48 ,46 ,2 
Mixed Finance Conventional,Bushwick Consolidated,AST HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Bushwick Consolidated,AST RES BLDG SP,2 ,2 ,0 
Mixed Finance Conventional,Bushwick Consolidated,CARETAKER HA,26 ,28 ,(2)
Mixed Finance Conventional,Bushwick Consolidated,HSG AST,4 ,4 ,0 
Mixed Finance Conventional,Bushwick Consolidated,HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Bushwick Consolidated,MAINT WORKER,6 ,7 ,(1)
Mixed Finance Conventional,Bushwick Consolidated,RES BLDG SUPT,1 ,1 ,0 
Mixed Finance Conventional,Bushwick Consolidated,SECY,2 ,1 ,1 
Mixed Finance Conventional,Bushwick Consolidated,SUPV HSG CRTKR,1 ,,1 
Mixed Finance Conventional,Bushwick Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Mixed Finance Conventional,Bushwick Consolidated Total,,45 ,46 ,(1)
Mixed Finance Conventional,Chelsea Consolidated,AST HSG MGR,1 ,,1 
Mixed Finance Conventional,Chelsea Consolidated,AST RES BLDG SP,1 ,1 ,0 
Mixed Finance Conventional,Chelsea Consolidated,CARETAKER HA,21 ,20 ,1 
Mixed Finance Conventional,Chelsea Consolidated,HSG AST,3 ,2 ,1 
Mixed Finance Conventional,Chelsea Consolidated,HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Chelsea Consolidated,MAINT WORKER,5 ,6 ,(1)
Mixed Finance Conventional,Chelsea Consolidated,RES BLDG SUPT,1 ,1 ,0 
Mixed Finance Conventional,Chelsea Consolidated,SECY,2 ,2 ,0 
Mixed Finance Conventional,Chelsea Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Mixed Finance Conventional,Chelsea Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Mixed Finance Conventional,Chelsea Consolidated Total,,37 ,35 ,2 
Mixed Finance Conventional,Drew Hamilton Consolidated,AST HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Drew Hamilton Consolidated,AST RES BLDG SP,1 ,2 ,(1)
Mixed Finance Conventional,Drew Hamilton Consolidated,CARETAKER HA,25 ,26 ,(1)
Mixed Finance Conventional,Drew Hamilton Consolidated,HSG AST,3 ,3 ,0 
Mixed Finance Conventional,Drew Hamilton Consolidated,HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Drew Hamilton Consolidated,MAINT WORKER,6 ,6 ,0 
Mixed Finance Conventional,Drew Hamilton Consolidated,RES BLDG SUPT,1 ,,1 
Mixed Finance Conventional,Drew Hamilton Consolidated,SECY,2 ,2 ,0 
Mixed Finance Conventional,Drew Hamilton Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Mixed Finance Conventional,Drew Hamilton Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Mixed Finance Conventional,Drew Hamilton Consolidated Total,,42 ,43 ,(1)
Mixed Finance Conventional,Manhattanville Consolidated,AST HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Manhattanville Consolidated,AST RES BLDG SP,2 ,1 ,1 
Mixed Finance Conventional,Manhattanville Consolidated,CARETAKER HA,25 ,19 ,6 
Mixed Finance Conventional,Manhattanville Consolidated,HSG AST,3 ,4 ,(1)
Mixed Finance Conventional,Manhattanville Consolidated,HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Manhattanville Consolidated,MAINT WORKER,6 ,5 ,1 
Mixed Finance Conventional,Manhattanville Consolidated,RES BLDG SUPT,1 ,1 ,0 
Mixed Finance Conventional,Manhattanville Consolidated,SECY,2 ,2 ,0 
Mixed Finance Conventional,Manhattanville Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Mixed Finance Conventional,Manhattanville Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Mixed Finance Conventional,Manhattanville Consolidated Total,,43 ,36 ,7 
Mixed Finance Conventional,Saint Mary's Park Consolidated,AST HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Saint Mary's Park Consolidated,AST RES BLDG SP,2 ,1 ,1 
Mixed Finance Conventional,Saint Mary's Park Consolidated,CARETAKER HA,27 ,29 ,(2)
Mixed Finance Conventional,Saint Mary's Park Consolidated,HSG AST,4 ,5 ,(1)
Mixed Finance Conventional,Saint Mary's Park Consolidated,HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Saint Mary's Park Consolidated,MAINT WORKER,6 ,5 ,1 
Mixed Finance Conventional,Saint Mary's Park Consolidated,RES BLDG SUPT,1 ,1 ,0 
Mixed Finance Conventional,Saint Mary's Park Consolidated,SECY,2 ,1 ,1 
Mixed Finance Conventional,Saint Mary's Park Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Mixed Finance Conventional,Saint Mary's Park Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Mixed Finance Conventional,Saint Mary's Park Consolidated Total,,46 ,46 ,0 
Mixed Finance Conventional,Straus Consolidated,AST RES BLDG SP,1 ,1 ,0 
Mixed Finance Conventional,Straus Consolidated,CARETAKER HA,13 ,12 ,1 
Mixed Finance Conventional,Straus Consolidated,HSG AST,2 ,2 ,0 
Mixed Finance Conventional,Straus Consolidated,HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Straus Consolidated,MAINT WORKER,2 ,3 ,(1)
Mixed Finance Conventional,Straus Consolidated,RES BLDG SUPT,1 ,1 ,0 
Mixed Finance Conventional,Straus Consolidated,SECY,2 ,1 ,1 
Mixed Finance Conventional,Straus Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Mixed Finance Conventional,Straus Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Mixed Finance Conventional,Straus Consolidated Total,,24 ,23 ,1 
Mixed Finance Conventional,Taylor / Wythe Consolidation,AST HSG MGR,,1 ,(1)
Mixed Finance Conventional,Taylor / Wythe Consolidation,AST RES BLDG SP,1 ,1 ,0 
Mixed Finance Conventional,Taylor / Wythe Consolidation,CARETAKER HA,11 ,18 ,(7)
Mixed Finance Conventional,Taylor / Wythe Consolidation,HSG AST,2 ,2 ,0 
Mixed Finance Conventional,Taylor / Wythe Consolidation,HSG MGR,1 ,1 ,0 
Mixed Finance Conventional,Taylor / Wythe Consolidation,MAINT WORKER,2 ,3 ,(1)
Mixed Finance Conventional,Taylor / Wythe Consolidation,RES BLDG SUPT,1 ,1 ,0 
