,CONS_TDS,Acres,PM,PM_FORMULA,APM,APM_FORMULA,SUPER,SUPER_FORMULA,ASUPER,ASUPER_FORMULA,SOG,SOG_FORMULA,HA,HA_FORMULA,SOC,SOC_FORMULA,CTG,CTJ,CJG_TOTAL,CJG_FORMULA,CTX,CTX_FORMULA,MW,MW_FORMULA,SEC,SEC_FORMULA,TOT,TOT_FORMULA
90,117,15.27,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,11,12,13,5.0,5.0,4.0,4.0,2.0,2.0,30.0,31.0
91,118,8.79,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,10,11,14,6.0,5.0,4.0,4.0,2.0,2.0,30.0,32.0
92,121,8.88,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,13,14,15,5.0,5.0,4.0,4.0,2.0,2.0,32.0,33.0
93,122,7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,11,12,13,5.0,5.0,4.0,4.0,2.0,2.0,30.0,31.0
94,123,5.34,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,9,10,11,5.0,5.0,4.0,3.0,2.0,2.0,28.0,28.0
95,127,4.43,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,19,20,19,5.0,5.0,6.0,6.0,2.0,2.0,43.0,42.0
96,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,131,11.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,13,14,16,5.0,5.0,5.0,5.0,2.0,2.0,35.0,37.0
98,134,7.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,15,16,17,5.0,5.0,5.0,5.0,2.0,2.0,37.0,38.0
99,135,11.17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,13,14,16,6.0,5.0,5.0,5.0,2.0,2.0,36.0,37.0
100,136,4.92,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,11,12,14,5.0,5.0,5.0,4.0,2.0,2.0,31.0,32.0
101,138,14.07,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,8,5.0,5.0,2.0,2.0,2.0,2.0,24.0,24.0
102,139,6.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,17,18,19,5.0,5.0,6.0,6.0,2.0,2.0,40.0,42.0
103,141,5.93,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,10,11,12,5.0,5.0,4.0,4.0,2.0,2.0,29.0,30.0
104,145,15.01,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,24,25,25,5.0,5.0,8.0,8.0,2.0,2.0,52.0,52.0
105,149,15.15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,22,23,23,5.0,5.0,7.0,7.0,2.0,2.0,49.0,48.0
