GEO_BORO,NYCHA_BORO,CONS_TDS,CONS_NAME,DEV_NAME,TDS,AMP,TOTAL_HH,TOTAL_POP,AVG_FAMILY_SIZE,AVG_TENURE,CURRENT_APTS,TOTAL_APTS,STAIRHALLS
Bronx,Bronx,308,Claremont Consolidated,TELLER AVENUE-EAST 166TH STREET,223,NY005013080,88,183,2.1,20,90,90,1
Bronx,Bronx,63,Throggs Neck,THROGGS NECK,63,NY005010630,"1,165","2,603",2.2,25.5,1182,1185,66
Bronx,Bronx,63,Throggs Neck,THROGGS NECK ADDITION,193,NY005010630,280,669,2.4,24.2,287,287,4
Bronx,Bronx,180,1010 EAST 178TH STREET,TWIN PARKS EAST (SITE 9),287,NY005012270,216,232,1.1,13.6,219,219,1
Bronx,Bronx,342,Union Avenue Consolidated,UNION AVENUE-EAST 163RD STREET,342,NY005013420,195,230,1.2,13.6,199,200,1
Bronx,Bronx,342,Union Avenue Consolidated,UNION AVENUE-EAST 166TH STREET,356,NY005013420,118,277,2.3,19.6,120,120,20
Bronx,Private Mgmt,341,Kraus Management (BX 3),UNIVERSITY AVENUE REHAB,341,NY005013410,230,511,2.2,22.5,230,230,5
Bronx,Bronx,141,Webster,WEBSTER,141,NY005011410,599,"1,555",2.6,21.2,606,606,6
Bronx,Private Mgmt,530,Building Management Associates (BX 1),WEST FARMS ROAD REHAB,360,NY005015300,208,442,2.1,20.4,208,208,7
Bronx,Private Mgmt,530,Building Management Associates (BX 1),WEST FARMS SQUARE CONVENTIONAL,526,NY005015310,20,47,2.4,15.5,20,20,1
Bronx,Bronx,45,Sedgwick,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,246,NY005010450,148,165,1.1,12.1,148,148,1
Brooklyn,Brooklyn,167,Reid Apartments,104-14 TAPSCOTT STREET,242,NY005011670,30,68,2.3,20.2,30,30,1
Brooklyn,Brooklyn,73,Sumner,303 VERNON AVENUE,156,NY005010730,233,538,2.3,25,234,234,1
Brooklyn,Brooklyn,31,Albany,ALBANY,31,NY005010310,805,"1,830",2.3,23.1,823,829,6
Brooklyn,Brooklyn,31,Albany,ALBANY II,85,NY005010310,392,969,2.5,21,400,400,3
Brooklyn,Brooklyn,163,Wyckoff Gardens,ATLANTIC TERMINAL SITE 4B,256,NY005011630,290,568,2,21.7,299,300,1
Brooklyn,Mixed Finance,92,Bay View,BAY VIEW,92,NY005020920,"1,591","3,459",2.2,20.5,1609,1610,26
