DEV_TDS,DISTRICT,SECTION,FREQUENCY,SCHEDULECO,FREQ_REFUS,FREQ_RECYC,FREQ_BULK
218,MN08,MN082,B,1082B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
177,BKN03,BKN031,B,3031B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
99,MN03,MN031,B,1031B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
282,BKN17,BKN171,A,3171A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
93,BX01,BX012,B,2012B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
389,MN10,MN104,B,1104B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
158,BKN16,BKN162,B,3162B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
45,BX05,BX051,B,2051B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
192,MN03,MN032,B,1032B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
341,BX05,BX051,A,2051A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
343,MN11,MN113,B,1113B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
355,MN11,MN112,A,1112A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
71,BX09,BX091,B,2091B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
305,BX01,BX012,B,2012B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
8,QE12,QE123,C,4123C,"Mon, Thu",Thu,"Mon, Thu"
66,QE12,QE123,C,4123C,"Mon, Thu",Thu,"Mon, Thu"
366,BKN08,BKN083,A,3083A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
153,MN06,MN062,A,1062A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
369,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
146,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
131,BKN03,BKN031,B,3031B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
287,BX06,BX062,A,2062A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
240,BKN05,BKN054,C,3054C,"Mon, Thu",Thu,"Mon, Thu"
61,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
315,BKN05,BKN054,C,3054C,"Mon, Thu",Thu,"Mon, Thu"
6,MN03,MN031,B,1031B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
7,MN03,MN031,B,1031B,"Tue, Thu, Sat",Sat,"Tue, Thu, Sat"
62,MN11,MN111,B,1111B,"Tue, Thu, Sat",Tue,"Tue, Thu, Sat"
74,MN11,MN113,B,1113B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
23,MN03,MN033,A,1033A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
293,MN12,MN122,A,1122A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
329,MN12,MN121,B,1121B,"Tue, Thu, Sat",Thu,"Tue, Thu, Sat"
151,MN07,MN074,A,1074A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
33,QW01,QW015,D,4015D,"Tue, Fri",Fri,"Tue, Fri"
182,BKN16,BKN162,A,3162A,"Mon, Wed, Fri",Fri,"Mon, Wed, Fri"
178,MN07,MN073,A,1073A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
173,MN07,MN074,A,1074A,"Mon, Wed, Fri",Mon,"Mon, Wed, Fri"
174,MN07,MN073,A,1073A,"Mon, Wed, Fri",Wed,"Mon, Wed, Fri"
163,BKS06,BKS063,C,3063C,"Mon, Thu",Thu,Thu
