Consolidated Name,Development Name  , TDS #,Development typology
Rutgers,RUTGERS,99,1 - High-rise in the park
Saint Mary's Park,MOORE,129,1 - High-rise in the park
Saint Mary's Park,SAINT MARY'S PARK,93,1 - High-rise in the park
Stapleton,STAPLETON,114,2 - Mid-rise in the park
Straus,344 EAST 28TH STREET,185,1 - High-rise in the park
Straus,STRAUS,153,4 - Context Towers
Taylor St - Wythe Ave,TAYLOR STREET-WYTHE AVENUE,234,5 - Context Mid-rises
Wise Towers,DE HOSTOS APARTMENTS,155,4 - Context Towers
Wise Towers,REHAB PROGRAM (WISE REHAB),517,6 - Walkups & Brownstones
Wise Towers,THOMAS APARTMENTS,268,5 - Context Mid-rises
Wise Towers,WISE TOWERS,127,4 - Context Towers
Wise Towers,WSUR (BROWNSTONES),178,6 - Walkups & Brownstones
Wise Towers,WSUR (SITE A) 120 WEST 94TH STREET,151,2 - Mid-rise in the park
Wise Towers,WSUR (SITE B) 74 WEST 92ND STREET,173,4 - Context Towers
Wise Towers,WSUR (SITE C) 589 AMSTERDAM AVENUE,174,4 - Context Towers
Brownsville,BROWNSVILLE,16,3 - Low-rise in the park
East River,EAST RIVER,9,2 - Mid-rise in the park
Howard,HOWARD,72,2 - Mid-rise in the park
Jefferson,335 EAST 111TH STREET,203,6 - Walkups & Brownstones
Jefferson,CORSI HOUSES,199,4 - Context Towers
Jefferson,JEFFERSON,64,2 - Mid-rise in the park
Langston Hughes Apts,HUGHES APARTMENTS,168,1 - High-rise in the park
Lincoln,LINCOLN,20,2 - Mid-rise in the park
Melrose,EAST 152ND STREET-COURTLANDT AVENUE,237,5 - Context Mid-rises
Melrose,MELROSE,28,2 - Mid-rise in the park
Mill Brook,MILL BROOK,84,1 - High-rise in the park
Mill Brook,MILL BROOK EXTENSION,132,4 - Context Towers
Mitchel,MITCHEL,145,1 - High-rise in the park
Mott Haven,MOTT HAVEN,121,1 - High-rise in the park
Patterson,PATTERSON,24,2 - Mid-rise in the park
Seth Low Houses,GLENMORE PLAZA,171,1 - High-rise in the park
Seth Low Houses,LOW HOUSES,169,1 - High-rise in the park
Tilden,TILDEN,96,1 - High-rise in the park
Unity Plaza,FIORENTINO PLAZA,207,6 - Walkups & Brownstones
Unity Plaza,LONG ISLAND BAPTIST HOUSES,276,6 - Walkups & Brownstones
Unity Plaza,"UNITY PLAZA (SITES 17,24,25A)",240,6 - Walkups & Brownstones
Unity Plaza,UNITY PLAZA (SITES 4-27),261,6 - Walkups & Brownstones
Van Dyke I,VAN DYKE I,61,2 - Mid-rise in the park
Wagner,WAGNER,74,1 - High-rise in the park
Wilson,METRO NORTH PLAZA,181,5 - Context Mid-rises
Wilson,WHITE,124,4 - Context Towers
Wilson,WILSON,112,1 - High-rise in the park
Woodson,VAN DYKE II,146,2 - Mid-rise in the park
Woodson,WOODSON,182,1 - High-rise in the park
Building Management Associates (BX 1),BRYANT AVENUE-EAST 174TH STREET,235,6 - Walkups & Brownstones
Building Management Associates (BX 1),EAST 165TH STREET-BRYANT AVENUE,304,6 - Walkups & Brownstones
Building Management Associates (BX 1),EAST 173RD STREET-VYSE AVENUE,338,6 - Walkups & Brownstones
Building Management Associates (BX 1),HOE AVENUE-EAST 173RD STREET,215,6 - Walkups & Brownstones
Building Management Associates (BX 1),HUNTS POINT AVENUE REHAB,367,6 - Walkups & Brownstones
Building Management Associates (BX 1),LONGFELLOW AVENUE REHAB,362,6 - Walkups & Brownstones
Building Management Associates (BX 1),WEST FARMS ROAD REHAB,360,6 - Walkups & Brownstones
Building Management Associates (BX 1),WEST FARMS SQUARE CONVENTIONAL,526,6 - Walkups & Brownstones
Kraus Management (BX 3),HARRISON AVENUE REHAB (GROUP A),347,6 - Walkups & Brownstones
Kraus Management (BX 3),HARRISON AVENUE REHAB (GROUP B),547,6 - Walkups & Brownstones
Kraus Management (BX 3),UNIVERSITY AVENUE REHAB,341,6 - Walkups & Brownstones
Kraus Management (MB 1),154 WEST 84TH STREET,359,6 - Walkups & Brownstones
Kraus Management (MB 1),LOWER EAST SIDE III,364,6 - Walkups & Brownstones
Kraus Management (MB 1),REHAB PROGRAM (DOUGLASS REHABS),515,6 - Walkups & Brownstones
Kraus Management (MB 1),REHAB PROGRAM (TAFT REHABS),516,6 - Walkups & Brownstones
Kraus Management (MB 1),SAMUEL (MHOP) I,389,NA
Kraus Management (MB 1),SAMUEL (MHOP) II,398,NA
Kraus Management (MB 1),SAMUEL (MHOP) III,399,NA
Kraus Management (MB 1),STANTON STREET,559,6 - Walkups & Brownstones
Astoria,ASTORIA,26,3 - Low-rise in the park
Baisley Park,BAISLEY PARK,91,2 - Mid-rise in the park
Baisley Park,CONLON LIHFE TOWER,232,2 - Mid-rise in the park
Baisley Park,FHA REPOSSESSED HOUSES (GROUP I),209,NA
Baisley Park,FHA REPOSSESSED HOUSES (GROUP II),212,NA
Baisley Park,FHA REPOSSESSED HOUSES (GROUP III),213,NA
Baisley Park,FHA REPOSSESSED HOUSES (GROUP IV),226,NA
Baisley Park,FHA REPOSSESSED HOUSES (GROUP IX),283,NA
Baisley Park,FHA REPOSSESSED HOUSES (GROUP V),260,NA
Baisley Park,FHA REPOSSESSED HOUSES (GROUP VI),273,NA
Baisley Park,FHA REPOSSESSED HOUSES (GROUP VII),274,NA
Baisley Park,FHA REPOSSESSED HOUSES (GROUP VIII),275,NA
Baisley Park,FHA REPOSSESSED HOUSES (GROUP X),284,NA
Baisley Park,INTERNATIONAL TOWER,316,5 - Context Mid-rises
Baisley Park,SHELTON HOUSE,279,5 - Context Mid-rises
Beach 41st Street,BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,2 - Mid-rise in the park
Beach 41st Street,OCEAN BAY APARTMENTS (OCEANSIDE),51,3 - Low-rise in the park
Berry,BERRY,52,3 - Low-rise in the park
Hammel,CARLETON MANOR,164,2 - Mid-rise in the park
Hammel,HAMMEL,75,3 - Low-rise in the park
Latimer Gardens,BLAND,54,2 - Mid-rise in the park
Latimer Gardens,LATIMER GARDENS,186,2 - Mid-rise in the park
Latimer Gardens,LEAVITT STREET-34TH AVENUE,201,6 - Walkups & Brownstones
Latimer Gardens,REHAB PROGRAM (COLLEGE POINT),143,6 - Walkups & Brownstones
Mariner's Harbor,MARINER'S HARBOR,77,3 - Low-rise in the park
Pomonok,POMONOK,53,2 - Mid-rise in the park
Queensbridge North,QUEENSBRIDGE NORTH,505,3 - Low-rise in the park
Queensbridge South,QUEENSBRIDGE SOUTH,5,3 - Low-rise in the park
Ravenswood,RAVENSWOOD,48,3 - Low-rise in the park
Redfern,REDFERN,55,3 - Low-rise in the park
Richmond Terrace,CASSIDY-LAFAYETTE,206,6 - Walkups & Brownstones
Richmond Terrace,RICHMOND TERRACE,117,2 - Mid-rise in the park
South Beach,NEW LANE AREA,314,5 - Context Mid-rises
South Beach,SOUTH BEACH,35,3 - Low-rise in the park
