MAKE,MODL,YEAR,DESCRIPTION,SERIAL #,PO #, COST ,DATE,LOCATION,Tag # 
JDEERE,Gator 4x4,2013,Tractor,1M06X4DDADM080173,1305050,"$21,193.46 ",5/28/13,BEACH 41ST STREET,EQ-022418
JDEERE,Gator 4x4,2013,Tractor,1M06X4DDHDM080175,1305050,"$21,193.46 ",5/28/13,CONEY ISLAND,EQ-022419
JDEERE,Gator 4x4,2013,Tractor,1M06X4DDJDM080170,1305050,"$21,193.46 ",5/28/13,LINCOLN,EQ-022420
JDEERE,Gator 4x4,2013,Tractor,1M06X4DDLDM080191,1305050,"$21,193.46 ",5/28/13,RED HOOK WEST,EQ-022421
JDEERE,Gator 4x4,2013,Tractor,1M06X4DDVDM080172,1305050,"$21,193.46 ",5/28/13,REDFERN,EQ-022422
JOHN DEERE,8B93:B20855 GATOR,2014,TRACTOR,1M0855DEAEM082603,1418843,"$13,999.00 ",8/21/14,SOUNDVIEW,EQ-022579
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEAFM100017,1432391,"$22,968.33 ",12/17/14,STAPLETON,EQ-022790
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEAFM100020,1432391,"$22,968.33 ",12/19/14,Loaner,EQ-022785
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DEAFM100034,1432391,"$22,968.33 ",12/12/14,GLENWOOD,EQ-022787
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DEAFM101071,1501612,"$22,968.00 ",3/19/15,JEFFERSON,EQ-022866
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DECEM082582,1418843,"$13,999.00 ",7/18/14,KINGSBOROUGH,EQ-022530
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DECFM100001,1432391,"$22,968.33 ",12/15/14,SEDGWICK,EQ-022782
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DECFM100015,1432391,"$22,968.33 ",12/11/14,GOWANUS,EQ-022789
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DECFM100032,1432391,"$22,968.33 ",12/17/14,LAGUARDIA,EQ-022792
JOHN DEERE,855 D GATOR,2015,TRACTOR,1M0855DECFM100099,1432391,"$22,968.33 ",12/17/14,HOWARD,EQ-022796
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DECFM100824,1501612,"$22,968.00 ",3/19/15,TILDEN,EQ-022864
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DEEEM082525,1418843,"$13,999.00 ",7/18/14,BRONX RIVER,EQ-022543
JOHN DEERE,855 GATOR,2014,TRACTOR,1M0855DEHEM082524,1418843,"$13,999.00 ",7/18/14,O'DWYER,EQ-022536
