,CONS,ROLE,ACTUAL,BUDGETED,CONS_TDS,CONS_NAME,TITLE_NAME,CODE_KEY,CODE_NAME
81,Beach 41st Street Consolidation,RES BLDG SUPT,1,1,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,RES BLDG SUPT,5.0,SUPER
82,Beach 41st Street Consolidation,SECY,2,2,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,SECY,3.0,SEC
83,Beach 41st Street Consolidation,SUPV HSG CRTKR,1,1,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,SUPV HSG CRTKR,7.0,SOC
84,Beach 41st Street Consolidation,SUPV HSG GDKPR,1,1,165,BEACH 41ST STREET-BEACH CHANNEL DRIVE,SUPV HSG GDKPR,8.0,SOG
85,Berry,AST RES BLDG SP,1,1,052,BERRY,AST RES BLDG SP,6.0,ASUPER
86,Berry,CARETAKER HA,11,8,052,BERRY,CARETAKER HA,10.0,CTJ
87,Berry,CARETAKER HA_G,0,1,052,BERRY,CARETAKER HA_G,13.0,CTG
88,Berry,CARETAKER HA_X,4,4,052,BERRY,CARETAKER HA_X,12.0,CTX
89,Berry,HSG AST,2,2,052,BERRY,HSG AST,4.0,HA
90,Berry,HSG MGR,1,1,052,BERRY,HSG MGR,1.0,PM
91,Berry,MAINT WORKER,2,2,052,BERRY,MAINT WORKER,9.0,MW
92,Berry,RES BLDG SUPT,1,1,052,BERRY,RES BLDG SUPT,5.0,SUPER
93,Berry,SECY,2,2,052,BERRY,SECY,3.0,SEC
94,Berry,SUPV HSG CRTKR,1,1,052,BERRY,SUPV HSG CRTKR,7.0,SOC
95,Berry,SUPV HSG GDKPR,1,1,052,BERRY,SUPV HSG GDKPR,8.0,SOG
96,Borinquen Plaza Consolidated,AST RES BLDG SP,1,1,243,BORINQUEN PLAZA CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
97,Borinquen Plaza Consolidated,CARETAKER HA,18,16,243,BORINQUEN PLAZA CONSOLIDATED,CARETAKER HA,10.0,CTJ
98,Borinquen Plaza Consolidated,CARETAKER HA_G,1,1,243,BORINQUEN PLAZA CONSOLIDATED,CARETAKER HA_G,13.0,CTG
99,Borinquen Plaza Consolidated,CARETAKER HA_X,3,4,243,BORINQUEN PLAZA CONSOLIDATED,CARETAKER HA_X,12.0,CTX
100,Borinquen Plaza Consolidated,CITY ATTENDANT,1,1,243,BORINQUEN PLAZA CONSOLIDATED,CITY ATTENDANT,3.0,SEC
101,Borinquen Plaza Consolidated,CLERICAL ASO,1,1,243,BORINQUEN PLAZA CONSOLIDATED,CLERICAL ASO,3.0,SEC
102,Borinquen Plaza Consolidated,HSG AST,2,2,243,BORINQUEN PLAZA CONSOLIDATED,HSG AST,4.0,HA
103,Borinquen Plaza Consolidated,HSG MGR,1,1,243,BORINQUEN PLAZA CONSOLIDATED,HSG MGR,1.0,PM
104,Borinquen Plaza Consolidated,MAINT WORKER,4,4,243,BORINQUEN PLAZA CONSOLIDATED,MAINT WORKER,9.0,MW
105,Borinquen Plaza Consolidated,RES BLDG SUPT,1,1,243,BORINQUEN PLAZA CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
106,Borinquen Plaza Consolidated,SUPV HSG CRTKR,1,1,243,BORINQUEN PLAZA CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
107,Borinquen Plaza Consolidated,SUPV HSG GDKPR,1,1,243,BORINQUEN PLAZA CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
108,Boston Secor Consolidation,AST RES BLDG SP,1,1,138,BOSTON SECOR CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
109,Boston Secor Consolidation,CARETAKER HA,9,8,138,BOSTON SECOR CONSOLIDATED,CARETAKER HA,10.0,CTJ
110,Boston Secor Consolidation,CARETAKER HA_G,1,1,138,BOSTON SECOR CONSOLIDATED,CARETAKER HA_G,13.0,CTG
111,Boston Secor Consolidation,CARETAKER HA_X,3,4,138,BOSTON SECOR CONSOLIDATED,CARETAKER HA_X,12.0,CTX
112,Boston Secor Consolidation,HSG AST,2,2,138,BOSTON SECOR CONSOLIDATED,HSG AST,4.0,HA
113,Boston Secor Consolidation,HSG MGR,1,1,138,BOSTON SECOR CONSOLIDATED,HSG MGR,1.0,PM
114,Boston Secor Consolidation,MAINT WORKER,3,2,138,BOSTON SECOR CONSOLIDATED,MAINT WORKER,9.0,MW
115,Boston Secor Consolidation,RES BLDG SUPT,1,1,138,BOSTON SECOR CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
116,Boston Secor Consolidation,SECY,2,2,138,BOSTON SECOR CONSOLIDATED,SECY,3.0,SEC
117,Boston Secor Consolidation,SUPV HSG CRTKR,1,1,138,BOSTON SECOR CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
118,Boston Secor Consolidation,SUPV HSG GDKPR,0,1,138,BOSTON SECOR CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
119,Boulevard Consolidated,AST HSG MGR,2,1,046,BOULEVARD CONSOLIDATED,AST HSG MGR,2.0,APM
120,Boulevard Consolidated,AST RES BLDG SP,2,2,046,BOULEVARD CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
121,Boulevard Consolidated,CARETAKER HA,23,22,046,BOULEVARD CONSOLIDATED,CARETAKER HA,10.0,CTJ
122,Boulevard Consolidated,CARETAKER HA_G,4,2,046,BOULEVARD CONSOLIDATED,CARETAKER HA_G,13.0,CTG
123,Boulevard Consolidated,CARETAKER HA_X,4,4,046,BOULEVARD CONSOLIDATED,CARETAKER HA_X,12.0,CTX
124,Boulevard Consolidated,HSG AST,4,4,046,BOULEVARD CONSOLIDATED,HSG AST,4.0,HA
125,Boulevard Consolidated,HSG MGR,1,1,046,BOULEVARD CONSOLIDATED,HSG MGR,1.0,PM
126,Boulevard Consolidated,MAINT WORKER,6,7,046,BOULEVARD CONSOLIDATED,MAINT WORKER,9.0,MW
127,Boulevard Consolidated,RES BLDG SUPT,1,1,046,BOULEVARD CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
128,Boulevard Consolidated,SECY,2,2,046,BOULEVARD CONSOLIDATED,SECY,3.0,SEC
129,Boulevard Consolidated,SUPV HSG CRTKR,1,1,046,BOULEVARD CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
130,Boulevard Consolidated,SUPV HSG GDKPR,1,1,046,BOULEVARD CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
131,Breukelen,AST HSG MGR,1,1,056,BREUKELEN,AST HSG MGR,2.0,APM
132,Breukelen,AST RES BLDG SP,1,2,056,BREUKELEN,AST RES BLDG SP,6.0,ASUPER
133,Breukelen,CARETAKER HA,23,24,056,BREUKELEN,CARETAKER HA,10.0,CTJ
134,Breukelen,CARETAKER HA_G,3,3,056,BREUKELEN,CARETAKER HA_G,13.0,CTG
