ASSETNUM,LOCATION,DESCRIPTION,INSTALLDATE,SITEID,STATE,ZZTYPE
74459966,102.GND01,EXTERIOR COMPACTOR,14-Nov-00,BX,OPERATING,COMPACTOR
74459969,102.GND01,EXTERIOR COMPACTOR,14-Nov-00,BX,OPERATING,COMPACTOR
74459968,102.GND01,EXTERIOR COMPACTOR,14-Nov-00,BX,OPERATING,COMPACTOR
74459952,103.GND01,EXTERIOR COMPACTOR,10-Apr-00,BX,OPERATING,COMPACTOR
74459953,103.GND01,EXTERIOR COMPACTOR,10-Apr-00,BX,OPERATING,COMPACTOR
74459856,111.GND01,EXTERIOR COMPACTOR,13-Mar-00,MN,OPERATING,COMPACTOR
74459857,111.GND01,EXTERIOR COMPACTOR,13-Mar-00,MN,OPERATING,COMPACTOR
74460104,112.GND01,EXTERIOR COMPACTOR,2-Apr-07,MN,OPERATING,COMPACTOR
74460103,112.GND01,EXTERIOR COMPACTOR,3-Mar-03,MN,OPERATING,COMPACTOR
74459827,113.GND01,EXTERIOR COMPACTOR,3-Dec-02,BX,OPERATING,COMPACTOR
74459829,113.GND01,EXTERIOR COMPACTOR,3-Dec-02,BX,OPERATING,COMPACTOR
74459828,113.GND01,EXTERIOR COMPACTOR,3-Dec-02,BX,OPERATING,COMPACTOR
74459826,113.GND01,EXTERIOR COMPACTOR,3-Dec-02,BX,OPERATING,COMPACTOR
74460051,114.GND01,EXTERIOR COMPACTOR,11-Mar-02,QS,OPERATING,COMPACTOR
74460050,114.GND01,EXTERIOR COMPACTOR,11-Mar-02,QS,OPERATING,COMPACTOR
74460097,116.GND01,EXTERIOR COMPACTOR,18-Jun-00,QS,OPERATING,COMPACTOR
74460098,116.GND01,EXTERIOR COMPACTOR,18-Jun-00,QS,OPERATING,COMPACTOR
74460018,117.GND01,EXTERIOR COMPACTOR,31-Aug-95,QS,OPERATING,COMPACTOR
74460019,117.GND01,EXTERIOR COMPACTOR,31-Aug-95,QS,OPERATING,COMPACTOR
74459776,118.GND01,EXTERIOR COMPACTOR,12-Apr-00,BX,OPERATING,COMPACTOR
74459777,118.GND01,EXTERIOR COMPACTOR,12-Apr-00,BX,OPERATING,COMPACTOR
74459911,120.GND01,EXTERIOR COMPACTOR,6-Apr-00,BX,OPERATING,COMPACTOR
74459912,120.GND01,EXTERIOR COMPACTOR,6-Apr-00,BX,OPERATING,COMPACTOR
74459971,121.GND01,EXTERIOR COMPACTOR,14-Sep-04,BX,OPERATING,COMPACTOR
74459972,121.GND01,EXTERIOR COMPACTOR,14-Sep-04,BX,OPERATING,COMPACTOR
74459926,122.GND01,EXTERIOR COMPACTOR,22-Mar-02,BK,OPERATING,COMPACTOR
74459927,122.GND01,EXTERIOR COMPACTOR,22-Mar-02,BK,OPERATING,COMPACTOR
74459848,123.GND01,EXTERIOR COMPACTOR,8-Apr-96,MN,OPERATING,COMPACTOR
74459847,123.GND01,EXTERIOR COMPACTOR,8-Apr-96,MN,OPERATING,COMPACTOR
74459788,125.GND01,EXTERIOR COMPACTOR,23-Apr-00,MN,OPERATING,COMPACTOR
74459965,129.GND01,EXTERIOR COMPACTOR,31-May-01,BX,OPERATING,COMPACTOR
74460073,131.GND01,EXTERIOR COMPACTOR,7-Oct-04,BK,OPERATING,COMPACTOR
74460072,131.GND01,EXTERIOR COMPACTOR,7-Oct-04,BK,OPERATING,COMPACTOR
74459956,132.GND01,EXTERIOR COMPACTOR,1-Jan-10,BX,OPERATING,COMPACTOR
