,DEV_NAME,MANAGED_BY,TDS,CONS_TDS,CONS_NAME
872,FHA REPOSSESSED HOUSES (GROUP VI),BAISLEY PARK,273,091,BAISLEY PARK CONSOLIDATED
879,FHA REPOSSESSED HOUSES (GROUP VII),BAISLEY PARK,274,091,BAISLEY PARK CONSOLIDATED
887,FHA REPOSSESSED HOUSES (GROUP VIII),BAISLEY PARK,275,091,BAISLEY PARK CONSOLIDATED
896,FHA REPOSSESSED HOUSES (GROUP X),BAISLEY PARK,284,091,BAISLEY PARK CONSOLIDATED
916,FIORENTINO PLAZA,UNITY PLAZA,207,261,UNITY PLAZA CONSOLIDATED
924,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,001,337,LOWER EAST SIDE CONSOLIDATED
932,FOREST,FOREST,059,059,FOREST
947,FORT INDEPENDENCE STREET-HEATH AVENUE,FORT INDEPENDENCE,197,197,FORT INDEPENDENCE CONSOLIDATED
948,FORT WASHINGTON AVENUE REHAB,FORT WASHINGTON,309,309,FORT WASHINGTON CONSOLIDATED
949,FULTON,FULTON,136,136,FULTON
961,GARVEY (GROUP A),GARVEY,252,252,GARVEY CONSOLIDATED
965,GLEBE AVENUE-WESTCHESTER AVENUE,SOTOMAYOR HOUSES,225,067,SOTOMAYOR HOUSES CONSOLIDATED
966,GLENMORE PLAZA,LOW HOUSES,171,169,SETH LOW CONSOLIDATED
971,GLENWOOD,GLENWOOD,044,044,GLENWOOD
992,GOMPERS,GOMPERS,100,100,GOMPERS CONSOLIDATED
996,GOWANUS,GOWANUS,025,025,GOWANUS
1012,GRAMPION,KING TOWERS,281,030,KING TOWERS CONSOLIDATED
1013,GRANT,GRANT,087,087,GRANT
1023,GRAVESEND,O'DWYER GARDENS,068,172,O'DWYER GARDENS CONSOLIDATED
1038,GUN HILL,GUN HILL,040,040,GUN HILL
1044,HABER,CAREY GARDENS,142,166,CAREY GARDENS CONSOLIDATED
1047,HAMMEL,HAMMEL,075,075,HAMMEL CONSOLIDATED
1062,HARBORVIEW TERRACE,AMSTERDAM,262,022,AMSTERDAM CONSOLIDATED
1064,HARLEM RIVER,HARLEM RIVER,003,003,HARLEM RIVER CONSOLIDATED
